Country,Year,Inflation
Sint Maarten (Dutch part),1997,
Seychelles,1997,0.618046972
Syrian Arab Republic,1997,1.886111362
Turks and Caicos Islands,1997,
Chad,1997,5.572257111
East Asia & Pacific (IDA & IBRD countries),1997,5.608028434
Europe & Central Asia (IDA & IBRD countries),1997,15.94059941
Togo,1997,8.250825083
Thailand,1997,5.625797471
Tajikistan,1997,
Turkmenistan,1997,
Latin America & the Caribbean (IDA & IBRD countries),1997,7.047338847
Timor-Leste,1997,
Middle East & North Africa (IDA & IBRD countries),1997,3.601161033
Tonga,1997,2.124731324
South Asia (IDA & IBRD),1997,7.164252115
Sub-Saharan Africa (IDA & IBRD countries),1997,7.647174333
Trinidad and Tobago,1997,3.626078758
Tunisia,1997,3.652026207
Turkiye,1997,85.66936165
Tuvalu,1997,
Tanzania,1997,16.09065493
Uganda,1997,8.169021441
Ukraine,1997,15.94059941
Upper middle income,1997,7.116364619
Uruguay,1997,19.81880932
United States,1997,2.337689937
Uzbekistan,1997,
St. Vincent and the Grenadines,1997,0.44361603
"Venezuela, RB",1997,
British Virgin Islands,1997,
Virgin Islands (U.S.),1997,
Viet Nam,1997,3.209526063
Vanuatu,1997,2.830702232
World,1997,5.554129889
Samoa,1997,6.861823553
Kosovo,1997,
"Yemen, Rep.",1997,2.176726674
South Africa,1997,8.597782632
Zambia,1997,24.41872157
Zimbabwe,1997,
Aruba,1998,1.869488536
Africa Eastern and Southern,1998,7.495256007
Afghanistan,1998,
Africa Western and Central,1998,4.471125439
Angola,1998,107.2848215
Albania,1998,20.64285887
Andorra,1998,
Arab World,1998,3.41731949
United Arab Emirates,1998,
Argentina,1998,
Armenia,1998,8.672486324
American Samoa,1998,
Antigua and Barbuda,1998,
Australia,1998,0.86013463
Austria,1998,0.922467197
Azerbaijan,1998,-0.772697886
Burundi,1998,12.50041077
Belgium,1998,0.949250288
Benin,1998,5.753314584
Burkina Faso,1998,5.084333441
Bangladesh,1998,8.402237956
Bulgaria,1998,18.67220444
Bahrain,1998,-0.366533865
"Bahamas, The",1998,1.336613366
Bosnia and Herzegovina,1998,
Belarus,1998,72.86971705
Belize,1998,2.1952625
Bermuda,1998,
Bolivia,1998,7.673228957
Brazil,1998,3.195076293
Barbados,1998,-1.268886607
Brunei Darussalam,1998,-0.44137931
Bhutan,1998,10.58558999
Botswana,1998,6.661398657
Central African Republic,1998,-1.885200962
Canada,1998,0.995942457
Central Europe and the Baltics,1998,8.208333333
Switzerland,1998,0.017938438
Channel Islands,1998,
Chile,1998,5.110249545
China,1998,-0.773186012
Cote d'Ivoire,1998,4.611447595
Cameroon,1998,3.170751854
"Congo, Dem. Rep.",1998,29.14880692
"Congo, Rep.",1998,
Colombia,1998,18.67697993
Comoros,1998,
Cabo Verde,1998,4.3942351
Costa Rica,1998,11.65929977
Caribbean small states,1998,2.698602959
Cuba,1998,
Curacao,1998,
Cayman Islands,1998,
Cyprus,1998,2.227707327
Czechia,1998,10.69836553
Germany,1998,0.911183535
Djibouti,1998,
Dominica,1998,0.999147458
Denmark,1998,1.84565122
Dominican Republic,1998,4.831665586
Algeria,1998,4.950161638
East Asia & Pacific (excluding high income),1998,8.614831536
Early-demographic dividend,1998,6.42073243
East Asia & Pacific,1998,5.491011804
Europe & Central Asia (excluding high income),1998,10.51727187
Europe & Central Asia,1998,4.644214227
Ecuador,1998,36.09843316
"Egypt, Arab Rep.",1998,3.872575464
Euro area,1998,2.227707327
Eritrea,1998,
Spain,1998,1.834329999
Estonia,1998,8.208333333
Ethiopia,1998,0.894801694
European Union,1998,2.415517872
Fragile and conflict affected situations,1998,5.976508521
Finland,1998,1.399473786
Fiji,1998,5.711681604
France,1998,0.651126868
Faroe Islands,1998,
"Micronesia, Fed. Sts.",1998,
Gabon,1998,1.448738543
United Kingdom,1998,1.820561637
Georgia,1998,3.566807813
Ghana,1998,14.62416667
Gibraltar,1998,
Guinea,1998,
"Gambia, The",1998,1.114188412
Guinea-Bissau,1998,8.01375519
Equatorial Guinea,1998,7.935710698
Greece,1998,4.766225724
Grenada,1998,1.377693304
Greenland,1998,
Guatemala,1998,6.613460705
Guam,1998,
Guyana,1998,4.586466165
High income,1998,1.955085577
"Hong Kong SAR, China",1998,2.912621359
Honduras,1998,13.66810775
Heavily indebted poor countries (HIPC),1998,5.753314584
Croatia,1998,6.396686608
Haiti,1998,5.26903547
Hungary,1998,14.15378965
IBRD only,1998,7.673228957
IDA & IBRD total,1998,6.845669808
IDA total,1998,5.976508521
IDA blend,1998,4.3942351
Indonesia,1998,58.45104447
IDA only,1998,6.209041591
Isle of Man,1998,
India,1998,13.23083898
Not classified,1998,
Ireland,1998,2.415517872
"Iran, Islamic Rep.",1998,17.86613421
Iraq,1998,14.76877356
Iceland,1998,1.65924171
Israel,1998,5.491900435
Italy,1998,1.955085577
Jamaica,1998,8.63189613
Jordan,1998,3.091666667
Japan,1998,0.661974191
Kazakhstan,1998,7.146326655
Kenya,1998,6.722436508
Kyrgyz Republic,1998,10.45738258
Cambodia,1998,14.80650354
Kiribati,1998,
St. Kitts and Nevis,1998,3.44635866
"Korea, Rep.",1998,7.513580081
Kuwait,1998,0.129658288
Latin America & Caribbean (excluding high income),1998,6.930641229
Lao PDR,1998,90.98073456
Lebanon,1998,
Liberia,1998,
Libya,1998,3.709273183
St. Lucia,1998,3.201943417
Latin America & Caribbean,1998,5.110249545
Least developed countries: UN classification,1998,8.022710922
Low income,1998,4.816174609
Liechtenstein,1998,
Sri Lanka,1998,9.364243007
Lower middle income,1998,9.234934323
Low & middle income,1998,7.146326655
Lesotho,1998,
Late-demographic dividend,1998,5.44152554
Lithuania,1998,5.067553858
Luxembourg,1998,0.95857011
Latvia,1998,4.644214227
"Macao SAR, China",1998,0.172630385
St. Martin (French part),1998,
Morocco,1998,2.753113308
Monaco,1998,
Moldova,1998,7.695765175
Madagascar,1998,6.208016087
Maldives,1998,-1.404252338
Middle East & North Africa,1998,3.125365797
Mexico,1998,15.92839501
Marshall Islands,1998,
Middle income,1998,7.695765175
North Macedonia,1998,0.544199653
Mali,1998,4.03658946
Malta,1998,2.385251354
Myanmar,1998,51.48754975
Middle East & North Africa (excluding high income),1998,3.872575464
Montenegro,1998,
Mongolia,1998,9.357042177
Northern Mariana Islands,1998,
Mozambique,1998,
Mauritania,1998,8.031666655
Mauritius,1998,6.810793238
Malawi,1998,29.74865128
Malaysia,1998,5.270342003
North America,1998,1.274110778
Namibia,1998,
New Caledonia,1998,
Niger,1998,4.548015777
Nigeria,1998,9.996378124
Nicaragua,1998,
Netherlands,1998,1.959136323
Norway,1998,2.2524133
Nepal,1998,11.24446778
Nauru,1998,
New Zealand,1998,1.265244099
OECD members,1998,2.105774811
Oman,1998,
Other small states,1998,2.951388889
Pakistan,1998,6.228004154
Panama,1998,0.559081293
Peru,1998,7.247821752
Philippines,1998,9.234934323
Palau,1998,
Papua New Guinea,1998,13.57419177
Poland,1998,11.59785543
Pre-demographic dividend,1998,6.465226297
Puerto Rico,1998,
"Korea, Dem. People's Rep.",1998,
Portugal,1998,2.572752259
Paraguay,1998,11.55326844
West Bank and Gaza,1998,5.579645058
Pacific island small states,1998,
Post-demographic dividend,1998,1.834329999
French Polynesia,1998,
Qatar,1998,2.951388889
Romania,1998,59.09658275
Russian Federation,1998,27.68567981
Rwanda,1998,6.210067095
South Asia,1998,9.364243007
Saudi Arabia,1998,-0.371269735
Sudan,1998,24.62187855
Senegal,1998,1.156780704
Singapore,1998,-0.267502293
Solomon Islands,1998,12.39950381
Sierra Leone,1998,
El Salvador,1998,2.547059776
San Marino,1998,
Somalia,1998,
Serbia,1998,30.1596998
Sub-Saharan Africa (excluding high income),1998,6.661398657
South Sudan,1998,
Sub-Saharan Africa,1998,6.435732876
Small states,1998,3.23819448
Sao Tome and Principe,1998,50.49313575
Suriname,1998,18.9753692
Slovak Republic,1998,6.665651232
Slovenia,1998,7.891166829
Sweden,1998,-0.267132668
Eswatini,1998,8.109965636
Sint Maarten (Dutch part),1998,
Seychelles,1998,2.57985258
Syrian Arab Republic,1998,-0.797165633
Turks and Caicos Islands,1998,
Chad,1998,4.258851102
East Asia & Pacific (IDA & IBRD countries),1998,8.614831536
Europe & Central Asia (IDA & IBRD countries),1998,10.57716115
Togo,1998,0.975338381
Thailand,1998,7.99472875
Tajikistan,1998,
Turkmenistan,1998,
Latin America & the Caribbean (IDA & IBRD countries),1998,5.440872274
Timor-Leste,1998,
Middle East & North Africa (IDA & IBRD countries),1998,3.790924324
Tonga,1998,3.274445543
South Asia (IDA & IBRD),1998,9.364243007
Sub-Saharan Africa (IDA & IBRD countries),1998,6.435732876
Trinidad and Tobago,1998,5.612709077
Tunisia,1998,3.125365797
Turkiye,1998,84.64134348
Tuvalu,1998,
Tanzania,1998,12.79975405
Uganda,1998,0.068804172
Ukraine,1998,10.57716115
Upper middle income,1998,6.845669808
Uruguay,1998,10.81107031
United States,1998,1.552279099
Uzbekistan,1998,
St. Vincent and the Grenadines,1998,2.142406473
"Venezuela, RB",1998,
British Virgin Islands,1998,
Virgin Islands (U.S.),1998,
Viet Nam,1998,7.266198044
Vanuatu,1998,3.282159873
World,1998,5.097291493
Samoa,1998,2.218834688
Kosovo,1998,
"Yemen, Rep.",1998,5.976508521
South Africa,1998,6.880546378
Zambia,1998,24.45845635
Zimbabwe,1998,
Aruba,1999,2.280371983
Africa Eastern and Southern,1999,7.819864776
Afghanistan,1999,
Africa Western and Central,1999,0.37226617
Angola,1999,248.1959024
Albania,1999,0.389437654
Andorra,1999,
Arab World,1999,2.669373691
United Arab Emirates,1999,
Argentina,1999,
Armenia,1999,0.64824576
American Samoa,1999,
Antigua and Barbuda,1999,1.121287896
Australia,1999,1.483129403
Austria,1999,0.568993766
Azerbaijan,1999,-8.525170005
Burundi,1999,3.385424273
Belgium,1999,1.120848234
Benin,1999,0.326722893
Burkina Faso,1999,-1.072613628
Bangladesh,1999,6.106695898
Bulgaria,1999,2.573042819
Bahrain,1999,-1.287587972
"Bahamas, The",1999,1.25424826
Bosnia and Herzegovina,1999,
Belarus,1999,293.6787509
Belize,1999,2.621395246
Bermuda,1999,
Bolivia,1999,2.159516268
Brazil,1999,4.858447499
Barbados,1999,1.560062402
Brunei Darussalam,1999,-0.415627598
Bhutan,1999,6.776993936
Botswana,1999,7.749296192
Central African Republic,1999,-1.414202201
Canada,1999,1.734842951
Central Europe and the Baltics,1999,4.019138756
Switzerland,1999,0.806444381
Channel Islands,1999,
Chile,1999,3.336879175
China,1999,-1.401472683
Cote d'Ivoire,1999,0.702375806
Cameroon,1999,1.871745007
"Congo, Dem. Rep.",1999,284.8949759
"Congo, Rep.",1999,4.142671373
Colombia,1999,10.87368709
Comoros,1999,
Cabo Verde,1999,4.356433745
Costa Rica,1999,10.04528173
Caribbean small states,1999,2.621395246
Cuba,1999,
Curacao,1999,
Cayman Islands,1999,
Cyprus,1999,1.63
Czechia,1999,2.135448444
Germany,1999,0.585433064
Djibouti,1999,
Dominica,1999,1.179477874
Denmark,1999,2.497795444
Dominican Republic,1999,6.470541868
Algeria,1999,2.645511134
East Asia & Pacific (excluding high income),1999,4.290728517
Early-demographic dividend,1999,5.023210786
East Asia & Pacific,1999,1.983824272
Europe & Central Asia (excluding high income),1999,20.93817381
Europe & Central Asia,1999,2.364818361
Ecuador,1999,52.24200519
"Egypt, Arab Rep.",1999,3.079499126
Euro area,1999,1.66345995
Eritrea,1999,
Spain,1999,2.31034814
Estonia,1999,3.296110897
Ethiopia,1999,7.941448641
European Union,1999,2.157179181
Fragile and conflict affected situations,1999,4.843531588
Finland,1999,1.162231557
Fiji,1999,1.96867366
France,1999,0.537141639
Faroe Islands,1999,
"Micronesia, Fed. Sts.",1999,
Gabon,1999,-1.936603976
United Kingdom,1999,1.752950801
Georgia,1999,19.19267582
Ghana,1999,4.865397851
Gibraltar,1999,
Guinea,1999,
"Gambia, The",1999,3.812372054
Guinea-Bissau,1999,-2.086305132
Equatorial Guinea,1999,0.37226617
Greece,1999,2.63663306
Grenada,1999,0.577427639
Greenland,1999,
Guatemala,1999,5.213610586
Guam,1999,
Guyana,1999,7.538219399
High income,1999,1.943859844
"Hong Kong SAR, China",1999,-4.009433962
Honduras,1999,11.66374098
Heavily indebted poor countries (HIPC),1999,3.598898164
Croatia,1999,4.019138756
Haiti,1999,3.004394216
Hungary,1999,9.997744093
IBRD only,1999,5.197551692
IDA & IBRD total,1999,4.567087529
IDA total,1999,4.142654277
IDA blend,1999,3.823217511
Indonesia,1999,20.47783111
IDA only,1999,4.578030154
Isle of Man,1999,
India,1999,4.66982038
Not classified,1999,
Ireland,1999,1.631923764
"Iran, Islamic Rep.",1999,20.07070781
Iraq,1999,12.57776234
Iceland,1999,3.231832609
Israel,1999,5.18102372
Italy,1999,1.66345995
Jamaica,1999,5.954239491
Jordan,1999,0.606256568
Japan,1999,-0.341296928
Kazakhstan,1999,8.296027653
Kenya,1999,5.742001095
Kyrgyz Republic,1999,37.03092584
Cambodia,1999,4.008207021
Kiribati,1999,
St. Kitts and Nevis,1999,3.363036304
"Korea, Rep.",1999,0.812957254
Kuwait,1999,2.990810359
Latin America & Caribbean (excluding high income),1999,5.036029043
Lao PDR,1999,125.2721284
Lebanon,1999,
Liberia,1999,
